target,text
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
ham,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx
ham,I can't describe how lucky you are that I'm actually awake by noon
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
ham,I'm thinking that chennai forgot to come for auction..
ham,I'll text now! All creepy like so he won't think that we forgot
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,So that takes away some money worries
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,"Yeah, probably here for a while"
ham,I'm in town now so i'll jus take mrt down later.
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,What's the significance?
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
ham,:-( that's not v romantic!
ham,Fine i miss you very much.
ham,Stupid auto correct on my phone
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,Staff of placement training in Amrita college.
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
ham,Nope watching tv at home... Not going out. V bored...
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Okie... Thanx...
ham,Thank you baby! I cant wait to taste the real thing...
ham,Are you sure you don't mean \get here
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Ok. I only ask abt e movie. U wan ktv oso?
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,hanks lotsly!
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Convey my regards to him
ham,Ok
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,HELLO PEACH! MY CAKE TASTS LUSH!
spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more
spam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
ham,"I dont knw pa, i just drink milk.."
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Thts god's gift for birds as humans hav some natural gift frm god..
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
ham,Wat happened to the cruise thing
ham,When're you guys getting back? G said you were thinking about not staying for mcr
ham,Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...
ham,Hi msg me:)i'm in office..
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,Oh god..taken the teeth?is it paining
ham,"Yo, the game almost over? Want to go to walmart soon"
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!"
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
ham,I dont have that much image in class.
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,Just got to  &lt;#&gt;
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Sorry me going home first... Daddy come fetch Ì_ later...
ham,"Ya, told..she was asking wats matter?"
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,"K, I might come by tonight then if my class lets out early"
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
ham,One of best dialogue in cute reltnship..!! \Wen i Die
ham,The basket's gettin full so I might be by tonight
ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
ham,Nope i'll come online now..
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
ham,U buy newspapers already?
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,I'm at work. Please call
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,Go chase after her and run her over while she's crossing the street
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,I'm on da bus going home...
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,"Awesome, lemme know whenever you're around"
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,Ok. C u then.
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,Just now saw your message.it k da:)
ham,So u wan 2 come for our dinner tonight a not?
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,Was the farm open?
ham,I'm stuck in da middle of da row on da right hand side of da lt... 
ham,Good morning princess! Have a great day!
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,4 oclock at mine. Just to bash out a flat plan.
ham,Why are u up so early?
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,No management puzzeles.
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,Yup ok thanx...
ham,Ok c Ì_ then.
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,"Uh, heads up we don't have THAT much left"
ham,Leave it. U will always be ignorant.
ham,Jus came back fr lunch wif my sis only. U leh?
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,Do you always celebrate NY's with your family ?
ham,"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it."
ham,Yes:)here tv is always available in work place..
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,Are you plans with your family set in stone ?
ham,Also track down any lighters you can find
ham,Shant disturb u anymore... Jia you...
ham,"Yeah I am, so I'll leave maybe 7ish?"
ham,Thanks for picking up the trash.
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL
ham,What you doing?how are you?
ham,Ok enjoy . R u there in home.
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!
ham,No let me do the math. Your not good at it.
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795
ham,Cause I'm not freaky lol
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
spam,3. You have received your mobile content. Enjoy
ham,I've reached home n i bathe liao... U can call me now...
ham,Wa... U so efficient... Gee... Thanx...
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
ham,Are you going to wipro interview today?
ham,"Aight that'll work, thanks"
ham,Congrats kano..whr s the treat maga?
ham,Still in customer place
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,I am in your office na.
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
ham,Pls help me tell Ashley that i cant find her number oh
ham,"K so am I, how much for an 8th? Fifty?"
ham,I love working from home :)
ham,Or I guess  &lt;#&gt;  min
ham,S.i think he is waste for rr..
ham,Didn't you get hep b immunisation in nigeria.
ham,Where are the garage keys? They aren't on the bookshelf
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,Hi:)cts employee how are you?
ham,Ok lor. Msg me b4 u call.
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?"
ham,Wot is u up 2 then bitch?
ham,Well welp is sort of a semiobscure internet thing
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham,Hello! Good week? Fancy a drink or something later?
ham,Excellent! Wish we were together right now!
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,K.k:)apo k.good movie.
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Ok... Take ur time n enjoy ur dinner...
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
ham,Ok. But i finish at 6.
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,You are a big chic. Common. Declare
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,"Awesome, be there in a minute"
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,"Geeeee ... Your internet is really bad today, eh ?"
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,Hey what happen de. Are you alright.
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
ham,* Am on my way
ham,Hey check it da. I have listed da.
ham,Did he just say somebody is named tampa
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,Dare i ask... Any luck with sorting out the car?
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,I am in bus on the way to calicut
ham,I'm home. Doc gave me pain meds says everything is fine.
ham,K:)k.are you in college?
ham,Esplanade lor. Where else...
ham,Who's there say hi to our drugdealer
ham,Any pain on urination any thing else?
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,Many times we lose our best ones bcoz we are 
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Headin towards busetop
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Ya:)going for restaurant..
ham,Minimum walk is 3miles a day.
ham,I just really need shit before tomorrow and I know you won't be awake before like 6
ham,Lol ok your forgiven :)
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,There bold 2  &lt;#&gt; . Is that yours
ham,Hmm ill have to think about it... ok you're forgiven! =D
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,I dont thnk its a wrong calling between us
ham,Probably earlier than that if the station's where I think it is
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
ham,I will once i get home
ham,So do you have samus shoulders yet
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,I will treasure every moment we spend together...
ham,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
ham,Do you know when the result.
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
ham,Sac will score big hundred.he is set batsman:-)
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,We're on the opposite side from where we dropped you off
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham,Mom wants to know where you at
ham,But i juz remembered i gotta bathe my dog today..
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,"Haha just kidding, papa needs drugs"
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,... Are you in the pub?
ham,Have you seen who's back at Holby?!
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,It is a good thing I'm now getting the connection to bw
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
ham,I'm still pretty weak today .. Bad day ?
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
spam,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
ham,No da..today also i forgot..
ham,I think steyn surely get one wicket:)
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
spam,"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\"""""
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Goodmorning sleeping ga.
ham,Lol! Oops sorry! Have fun. 
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
ham,My birthday is on feb  &lt;#&gt;  da. .
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,\YEH I AM DEF UP4 SOMETHING SAT
ham,"A few people are at the game, I'm at the mall with iouri and kaila"
ham,"Customer place, i wil cal u sir."
ham,Carlos says we can pick up from him later so yeah we're set
ham,So wats ur opinion abt him and how abt is character?
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,So when do you wanna gym harri
ham,Ambrith..madurai..met u in arun dha marrge..remembr?
ham,"Aight, let me know when you're gonna be around usf"
ham,They just talking thats it de. They wont any other.
ham,"Hey babe, my friend had to cancel, still up for a visit ?"
ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x"
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Whens your radio show?
ham,"Text me when you get off, don't call, my phones having problems"
ham,Hey what's up charles sorry about the late reply.
ham,"Aight, sounds good. When do you want me to come down?"
ham,Kent vale lor... ÌÏ wait 4 me there ar?
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,You want to go? 
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,There is a first time for everything :)
ham,Short But Cute: \Be a good person
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,ELLO BABE U OK?
ham,Hey mr whats the name of that bill brison book the one about language and words 
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,I fetch yun or u fetch?
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16
ham,You are not bothering me but you have to trust my answers. Pls.
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,"It could work, we'll reach a consensus at the next meeting"
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,No calls..messages..missed calls
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
ham,ÌÏ bot notes oredi... Cos i juz rem i got...
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
ham,Midnight at the earliest
ham,"Aight will do, thanks again for comin out"
ham,You made my day. Do have a great day too.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
